time,station,rr,substation
2000-01-01T00:00+00:00,15506,,
2000-01-01T00:00+00:00,15509,,
2000-01-01T00:00+00:00,15515,1547.0,
2000-01-01T00:00+00:00,15610,1215.0,
2000-01-01T00:00+00:00,15640,,
2000-01-01T00:00+00:00,15701,1049.0,
2000-01-01T00:00+00:00,15702,,
2000-01-01T00:00+00:00,15711,913.0,
2000-01-01T00:00+00:00,15712,,
2000-01-01T00:00+00:00,15715,1298.0,
2000-01-01T00:00+00:00,15721,668.0,
2000-01-01T00:00+00:00,15800,1430.0,
2000-01-01T00:00+00:00,15900,1031.0,
2000-01-01T00:00+00:00,15901,,
2000-01-01T00:00+00:00,15905,1191.0,
2000-01-01T00:00+00:00,15906,,
2000-01-01T00:00+00:00,15911,,
2000-01-01T00:00+00:00,15912,,
2000-01-01T00:00+00:00,15920,954.0,
2000-01-01T00:00+00:00,16015,1024.0,
2000-01-01T00:00+00:00,16101,856.0,
2000-01-01T00:00+00:00,16300,879.0,
2000-01-01T00:00+00:00,16308,,
2000-01-01T00:00+00:00,16400,824.0,
2000-01-01T00:00+00:00,16401,813.0,
2000-01-01T00:00+00:00,16402,,
2000-01-01T00:00+00:00,16411,858.0,
2000-01-01T00:00+00:00,16412,755.0,
2000-01-01T00:00+00:00,16413,,
2000-01-01T00:00+00:00,16414,,
2000-01-01T00:00+00:00,16421,1036.0,
2000-01-01T00:00+00:00,16430,,
2000-01-01T00:00+00:00,16431,,
2000-01-01T00:00+00:00,16500,771.0,
2000-01-01T00:00+00:00,16501,,
2000-01-01T00:00+00:00,16511,804.0,
2000-01-01T00:00+00:00,16520,810.0,
2000-01-01T00:00+00:00,16521,,
2000-01-01T00:00+00:00,16522,,
2000-01-01T00:00+00:00,16600,727.0,
2000-01-01T00:00+00:00,16601,,
2000-01-01T00:00+00:00,16702,,
2000-01-01T00:00+00:00,16710,793.0,
2000-01-01T00:00+00:00,16711,,
2000-01-01T00:00+00:00,16800,638.0,
2000-01-01T00:00+00:00,16905,,
2000-01-01T00:00+00:00,16906,,
2000-01-01T00:00+00:00,16910,,
2000-01-01T00:00+00:00,17002,1220.0,
2000-01-01T00:00+00:00,17003,,
2000-01-01T00:00+00:00,17004,,
2000-01-01T00:00+00:00,17005,,
2000-01-01T00:00+00:00,17006,,
2000-01-01T00:00+00:00,17100,987.0,
2000-01-01T00:00+00:00,17101,,
2000-01-01T00:00+00:00,17102,,
2000-01-01T00:00+00:00,17301,1214.0,
2000-01-01T00:00+00:00,17315,1444.0,
2000-01-01T00:00+00:00,17320,,
2000-01-01T00:00+00:00,17700,1280.0,
